Wall time,Step,Value
1588750378,1330000,6.406555653
1588750436,1340000,5.659857273
1588750500,1350000,4.362708569
1588750561,1360000,7.257294178
1588750622,1370000,5.348618984
1588750682,1380000,4.952913284
1588750742,1390000,7.246294022
1588750805,1400000,6.312470436
1588750865,1410000,6.356666565
1588750925,1420000,10.72325039
1588750987,1430000,5.594368458
1588751047,1440000,6.480052471
1588751109,1450000,9.973071098
1588751169,1460000,4.074874878
1588751230,1470000,10.58830738
1588751290,1480000,10.84616661
1588751344,1490000,5.112900257
1588751399,1500000,7.76777792
1588751451,1510000,6.537368298
1588751501,1520000,5.98116684
1588751553,1530000,8.800466537
1588751604,1540000,5.421818256
1588751664,1550000,5.18475008
1588751724,1560000,4.136730671
1588751778,1570000,5.948649883
1588751831,1580000,7.881625175
1588751886,1590000,6.514315605
1588751940,1600000,5.328181744
1588751991,1610000,3.030516148
1588752043,1620000,4.517960072
1588752094,1630000,5.359318256
1588752146,1640000,8.8302145
1588752199,1650000,8.868785858
1588752251,1660000,6.342649937
1588752303,1670000,8.089562416
1588752354,1680000,5.848750114
1588752406,1690000,13.04119968
1588752459,1700000,7.561294079
1588752511,1710000,7.868533611
1588752563,1720000,7.04216671
1588752614,1730000,5.463619232
1588752666,1740000,10.81769276
1588752720,1750000,7.330312729
1588752771,1760000,7.717470646
1588752823,1770000,8.513000488
1588752875,1780000,4.838833332
1588752927,1790000,6.310272694
1588752980,1800000,5.609238148
1588753032,1810000,7.802249908
1588753083,1820000,7.204533577
1588753135,1830000,7.665947437
1588753188,1840000,13.50133324
1588753247,1850000,9.423733711
1588753308,1860000,8.182250023
1588753368,1870000,7.10411787
1588753428,1880000,9.832615852
1588753488,1890000,3.969464302
1588753549,1900000,10.76323128
1588753608,1910000,6.27177763
1588755906,1920000,6.453999996
1588756315,1930000,7.262411594
1588756489,1940000,7.720000267
1588756548,1950000,6.758299828
1588756604,1960000,7.86706686
1588756659,1970000,5.828999996
1588756713,1980000,10.99707699
1588756763,1990000,5.613142967
1588756814,2000000,8.954922676
