Steps,Policy/Entropy,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward
260000,0.9731295,1.2071228186648928,172.6315789473684,0.4947443,1.2071228317197478
270000,0.95680594,1.1949464402901608,176.375,0.46016037,1.0780727586285634
280000,0.9515201,0.9235737805815841,160.27868852459017,0.47928154,1.0316290233975216
290000,0.95456475,1.0575254347562095,165.25423728813558,0.43627986,1.0575254195827548
300000,0.9380326,1.4540740865179234,181.55555555555554,0.5028156,1.454074089863786
310000,0.9078458,0.9608571526893813,156.3968253968254,0.49590984,0.9608571477352627
320000,0.9028365,0.7690588318304542,143.73529411764707,0.44192877,0.769058831700343
330000,0.8929047,0.7845294201602776,145.4264705882353,0.4323859,0.7845294241903021
340000,0.8535586,1.0141379414005847,167.79310344827587,0.39873624,1.014137941830117
350000,0.85995466,1.0180327971561307,162.78688524590163,0.44857895,1.0134333589424689
360000,0.8832847,0.9630645261645587,155.5,0.47833934,0.9683174589087092
370000,0.8891656,1.1864386072439517,175.26315789473685,0.42240855,1.223142879482891
380000,0.8872691,0.8079130525963948,141.5072463768116,0.38674983,0.7839571291314704
390000,0.8688264,1.3687222344882752,179.42592592592592,0.36771187,1.3687221619335037
400000,0.85007185,0.8806376900351809,144.31884057971016,0.36186895,0.8806376927734717
410000,0.8181291,1.0021129129886357,152.93548387096774,0.27933586,1.0021128898726837
420000,0.80786574,1.0981746130578576,161.12698412698413,0.24851839,1.098174643732371
430000,0.8098876,1.1009830614429568,165.20338983050848,0.20717451,1.1009830427829619
440000,0.84010506,1.0618000107332288,162.85,0.2740442,1.0617999999783934
450000,0.8099466,1.1484127095087417,156.93650793650792,0.3051508,1.148412669461871
460000,0.83208853,1.20672882553703,162.67796610169492,0.3024475,1.2067288095920772
470000,0.84141046,1.0182812610473775,157.265625,0.25025168,1.018281216151081
480000,0.8549647,0.767797109972942,140.5072463768116,0.22238176,0.7677970940004224
490000,0.85132277,0.819057152172484,140.25714285714287,0.25229546,0.8190570891967841
500000,0.84525716,0.9915161396023787,159.3709677419355,0.21146992,0.9915161046289629
510000,0.83958596,1.0761147645554032,160.52459016393442,0.23760872,1.0761147683761159
520000,0.840729,1.0203387201106506,157.48387096774192,0.28876498,1.020338694655126
530000,0.8498019,1.2142833442252594,164.23333333333332,0.2767852,1.2142833430009583
540000,0.8574567,1.6814509941488687,194.07843137254903,0.31146434,1.6814509609750672
550000,0.8638577,1.9629565375204117,213.1304347826087,0.35215586,1.96295651777283
560000,0.841341,1.8281304497276838,209.95652173913044,0.38413137,1.828130447184262
570000,0.8515608,1.318857155740261,176.375,0.4323006,1.318857158933367
580000,0.87044406,2.3955641207912075,252.7948717948718,0.42747784,2.3955641337312183
590000,0.8906539,1.668500013698358,197.44,0.41637558,1.6684999735280872
600000,0.8700506,2.1164762069681835,228.73809523809524,0.48664168,2.116476210809889
610000,0.8657175,1.338462975229723,184.14814814814815,0.40903345,1.338462974600218
