Steps,Policy/Entropy,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward
250000,0.87896025,1.6153846153846154,150.53846153846155,0.5290857,1.621212121212121
260000,0.8888046,1.2307692307692308,123.12820512820512,0.51514256,1.2307692307692308
270000,0.90863645,1.625,157.78125,0.5443716,1.6349206349206349
280000,0.92580545,1.6451612903225807,156.4516129032258,0.57365555,1.6349206349206349
290000,0.92190903,1.2666666666666666,128.90666666666667,0.49100164,1.2666666666666666
300000,0.93157184,1.606060606060606,149.87878787878788,0.46380502,1.606060606060606
310000,0.8919005,1.507462686567164,145.955223880597,0.47784144,1.507462686567164
320000,0.89042604,1.4714285714285715,139.5857142857143,0.4955199,1.4714285714285715
330000,0.89306885,1.3125,124.1,0.49015707,1.3125
340000,0.85627323,1.271604938271605,121.30864197530865,0.4556476,1.271604938271605
350000,0.83549565,1.2439024390243902,118.96341463414635,0.5368508,1.2439024390243902
360000,0.8651809,1.1851851851851851,120.46913580246914,0.49030796,1.1851851851851851
370000,0.86442196,1.3026315789473684,128.55263157894737,0.46116292,1.3026315789473684
380000,0.8690046,1.375,139.08333333333334,0.39313254,1.3943661971830985
390000,0.8471142,1.197674418604651,113.19767441860465,0.4550899,1.1839080459770115
400000,0.83518106,1.175,122.8625,0.46681237,1.175
410000,0.8295598,1.1097560975609757,117.02439024390245,0.48456994,1.1097560975609757
420000,0.8290456,1.125,113.4659090909091,0.49379137,1.125
430000,0.8642171,1.1477272727272727,112.19318181818181,0.4688512,1.1494252873563218
440000,0.8897741,1.4109589041095891,134.08219178082192,0.49110517,1.4109589041095891
450000,0.8941099,1.021978021978022,107.56043956043956,0.41222563,1.0217391304347827
460000,0.9045485,1.2025316455696202,120.43037974683544,0.4184533,1.2025316455696202
470000,0.9318573,1.6029411764705883,147.66176470588235,0.49616268,1.6029411764705883
480000,0.9309567,1.3,123.4875,0.47570494,1.3037974683544304
490000,0.9600974,1.6507936507936507,154.96825396825398,0.57729995,1.640625
500000,0.9618841,1.4696969696969697,146.74242424242425,0.54563373,1.4696969696969697
510000,0.95511353,1.5147058823529411,145.69117647058823,0.52594084,1.5147058823529411
520000,0.951248,1.3472222222222223,135.84722222222223,0.5027205,1.3472222222222223
530000,0.9334397,1.8596491228070176,172.0701754385965,0.5674197,1.8596491228070176
540000,0.92140484,1.4927536231884058,144.07246376811594,0.5512537,1.5
550000,0.9108222,2.0384615384615383,186.05769230769232,0.60080504,2.018867924528302
560000,0.9035337,1.6825396825396826,155.5873015873016,0.613567,1.6825396825396826
570000,0.90119994,1.9636363636363636,176.03636363636363,0.5928813,1.9636363636363636
580000,0.9136605,2.150943396226415,186.0943396226415,0.5702663,2.150943396226415
590000,0.9209361,2.0384615384615383,186.40384615384616,0.59269065,2.0384615384615383
600000,0.9277242,1.9272727272727272,173.8,0.6199345,1.9272727272727272
610000,0.90987587,2.230769230769231,199.94230769230768,0.63568044,2.230769230769231
620000,0.9354736,2.076923076923077,185.42307692307693,0.6241385,2.076923076923077
630000,0.93579435,2.230769230769231,191.92307692307693,0.5666239,2.230769230769231
640000,0.91634214,2.0943396226415096,184.9056603773585,0.6235618,2.0943396226415096
650000,0.9259175,2.425531914893617,209.6595744680851,0.6364636,2.425531914893617
660000,0.9361617,2.0576923076923075,186.23076923076923,0.6408125,2.0576923076923075
670000,0.94015,2.0576923076923075,191.76923076923077,0.66454506,2.0576923076923075
680000,0.9455098,2.24,195.4,0.6678821,2.24
690000,0.9344369,1.5970149253731343,143.55223880597015,0.65252286,1.5970149253731343
700000,0.9223795,1.9464285714285714,179.10714285714286,0.5776414,1.9464285714285714
710000,0.9369456,1.8909090909090909,175.47272727272727,0.61869574,1.8909090909090909
720000,0.92691785,2.163265306122449,204.75510204081633,0.5749785,2.163265306122449
730000,0.9049825,1.7413793103448276,166.05172413793105,0.58004874,1.7413793103448276
740000,0.898627,2.2083333333333335,207.4375,0.59267795,2.2083333333333335
750000,0.8933646,2.558139534883721,221.48837209302326,0.6008142,2.558139534883721
760000,0.88717675,2.902439024390244,247.9512195121951,0.64573437,2.902439024390244
770000,0.85141546,1.6825396825396826,155.1904761904762,0.6296533,1.6825396825396826
780000,0.8491524,1.9830508474576272,165.9322033898305,0.6506154,1.9830508474576272
790000,0.8669114,2.4893617021276597,210.27659574468086,0.6792602,2.5217391304347827
800000,0.87943935,2.511111111111111,208.06666666666666,0.6627795,2.4782608695652173
810000,0.9033116,2.6818181818181817,229.38636363636363,0.6977972,2.6818181818181817
820000,0.901562,2.697674418604651,230.90697674418604,0.724417,2.697674418604651
830000,0.9172586,2.16,198.12,0.74744636,2.183673469387755
840000,0.92236555,1.9454545454545455,177.85454545454544,0.7046663,1.9285714285714286
850000,0.9153241,2.2083333333333335,203.58333333333334,0.6797439,2.2083333333333335
860000,0.91474426,2.12,194.12,0.6742533,2.12
870000,0.9157211,2.25,208.27083333333334,0.69053376,2.276595744680851
880000,0.8724414,2.4347826086956523,208.2608695652174,0.66046184,2.404255319148936
890000,0.8811503,2.1923076923076925,193.6153846153846,0.6754972,2.235294117647059
