Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
650000,0.9886156,0.89026046,0.07028125,0.019097904,0.00020263466,None,None,None
660000,0.99348986,0.90786225,0.06509487,0.020930924,0.00020108897,None,None,None
670000,0.96019626,0.90371,0.06427352,0.029774688,0.00019954337,None,None,None
680000,0.9804871,0.89215964,0.06443589,0.021651508,0.0001980011,346.7040025443421,31425.5,346.70399576611817
690000,1.0617081,0.8886453,None,None,None,None,None,None
700000,1.0230316,0.8837785,0.064940535,0.03107079,0.00019645548,None,None,None
710000,1.011125,0.874291,0.06656156,0.021407673,0.00019490992,312.9170022933977,27808.0,312.9169959798455
720000,1.0663683,0.8850261,0.06627036,0.019295879,0.00019337001,None,None,None
730000,1.1381513,0.89057267,0.06946006,0.026014399,0.00019182444,None,None,None
740000,1.1327295,0.87858903,0.06377234,0.027059386,0.00019027884,None,None,None
750000,1.1730434,0.8908798,0.07850254,0.0209823,0.00018873315,None,None,None
760000,1.1397549,0.906572,0.07403812,0.026665075,0.00018718754,None,None,None
770000,1.0938818,0.88136625,0.07698355,0.024432367,0.00018564198,None,None,None
780000,1.0817721,0.8787712,0.07110445,0.029204573,0.00018409641,None,None,None
790000,1.0434129,0.90545607,0.06923093,0.029788574,0.00018255081,None,None,None
800000,0.988183,0.9043939,0.06823749,0.027232163,0.00018100525,None,None,None
810000,0.99735516,0.9117386,0.068823606,0.020882418,0.00017945965,None,None,None
820000,1.0346316,0.912077,0.070485234,0.024454957,0.00017791397,None,None,None
830000,1.0778348,0.89030033,0.066886574,0.024074474,0.00017636838,None,None,None
840000,1.1096117,0.8689625,0.065489724,0.02068285,0.0001748228,None,None,None
850000,1.1155796,0.8644865,0.06957858,0.025667844,0.00017327719,None,None,None
860000,1.1281581,0.87663424,0.073865145,0.024995584,0.00017173163,None,None,None
870000,1.0991987,0.8786046,0.0722243,0.020072367,0.00017018602,None,None,None
880000,1.1143701,0.8746517,0.06846108,0.027401267,0.00016864046,None,None,None
890000,1.1086221,0.85236377,0.06548887,0.021176197,0.00016709478,None,None,None
900000,1.1015549,0.84368205,0.07290079,0.025672708,0.00016554918,None,None,None
910000,1.132395,0.8630148,0.0644375,0.02026823,0.0001640036,None,None,None
920000,1.1282008,0.8710802,0.067065984,0.023393119,0.00016245984,2153.5500164885307,205242.0,2153.549970265478
930000,1.1022576,0.86191887,0.061813988,0.020788865,0.00016092039,171.9010012560757,15142.0,171.9009971320629
940000,1.125242,0.85388535,0.06519274,0.023925869,0.00015937477,None,None,None
950000,1.120441,0.8605196,0.065366894,0.021632548,0.0001578292,None,None,None
960000,1.1517925,0.8420499,0.06977616,0.028984448,0.00015628355,None,None,None
970000,1.1386405,0.85664135,0.07034353,0.016703408,0.00015473792,None,None,None
980000,1.1238477,0.8773099,0.06263134,0.020929689,0.00015320005,526.0560038720723,47577.0,526.05599167943
990000,1.2147251,0.8831237,0.07028087,0.028705327,0.0001516544,None,None,None
1000000,1.1648978,0.8810139,0.065547325,0.025566489,0.00015011242,212.76300150097813,18309.0,212.76299715787172
1010000,1.1472491,0.87997407,0.06885498,0.022627652,0.00014856979,161.74600116861984,14470.0,161.74599859118462
1020000,1.120534,0.8888237,0.07142552,0.023560578,0.0001470242,None,None,None
1030000,1.1271924,0.893517,None,None,None,None,None,None
1040000,1.1145303,0.89498895,0.060725912,0.020342559,0.00014547861,237.0570016069105,21623.0,237.05700294300914
1050000,1.162197,0.8886749,0.06909331,0.023322105,0.00014394037,None,None,None
1060000,1.1806854,0.8814571,0.062009577,0.028194768,0.00014239475,251.9980017566122,22099.0,251.99799717962742
1070000,1.193577,0.8982485,0.06464981,0.02129799,0.00014085129,92.12700062640943,8170.0,92.12699937820435
1080000,1.2131804,0.9092357,0.06221051,0.021320583,0.00013930866,179.44100114272442,14240.0,179.440996799618
1090000,1.1977918,0.9035109,0.060027555,0.02639295,0.00013777222,None,None,None
