Steps,Policy/Entropy,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward
280000,0.9470788,2.5625833458664906,203.70833333333334,0.87497324,2.562583409177023
290000,0.9525978,2.3410363741261375,177.98181818181817,0.8062439,2.3410364314638588
300000,0.9722351,2.8789111253029356,216.4,0.8294133,2.8789111792782527
310000,0.9730161,2.5812174031693162,193.84782608695653,0.838821,2.581217385205926
320000,0.95329887,3.6966750187188153,272.75,0.8420201,3.761794924336032
330000,0.9533978,2.4624423194931855,186.3846153846154,0.88115054,2.4378113183720074
340000,0.9542886,3.681945964228362,269.6216216216216,0.9180948,3.718277800255843
350000,0.96817404,2.489686286837027,188.9607843137255,0.8782051,2.487461581532933
360000,0.9703795,2.7614347970204265,216.95652173913044,0.9367608,2.715644373617963
370000,0.9365704,2.9956521880534557,212.08695652173913,0.8812136,3.034510626816785
380000,0.90249455,1.9767313527825998,144.88059701492537,0.8672328,1.976731365360667
390000,0.89771587,2.2789666773343926,165.43333333333334,0.84215474,2.2789666575263254
400000,0.92054063,2.4940980514831037,190.01960784313727,0.80159193,2.4940980514671254
410000,0.92372847,3.1219535034182373,230.3953488372093,0.8763625,3.1219535516954005
420000,0.924274,2.498627463850996,190.54901960784315,0.88571143,2.498627464592859
430000,0.9431423,3.2946341623319313,243.4878048780488,0.858696,3.2946341300224202
440000,0.93481386,3.2977317238635404,238.8048780487805,0.8747318,3.2977317148910426
450000,0.93801373,2.649740013300907,197.66,0.9071984,2.6778979858773173
460000,0.9585705,2.859933347035096,212.04444444444445,0.9340742,2.8253695878615277
470000,0.9576358,3.2669756262529095,244.65853658536585,0.8936366,3.2669756806926893
480000,0.94107354,3.0858333489935226,224.16666666666666,0.8856975,3.0858333367311084
490000,0.93370724,3.598615403012492,255.76923076923077,0.8819218,3.598615487279275
500000,0.9645943,2.611803934719943,194.11764705882354,0.8668608,2.6118039277875247
510000,0.9634322,3.4265405587770195,264.94594594594594,0.910721,3.426540596467267
520000,0.944162,3.0380909251583614,227.72727272727272,0.9200185,3.0380909767991398
530000,0.9388959,3.230175016631256,242.2,0.88216144,3.230174972576788
540000,0.93712455,4.60010347178543,340.17241379310343,0.8836663,4.600103494823621
550000,0.9285292,3.560684228907217,259.8421052631579,0.90035343,3.5606842302705015
560000,0.9558784,3.465729748292172,254.59459459459458,0.87948203,3.4657297405804433
570000,0.9493342,4.719266691365434,335.6,0.93269724,4.719266696138463
580000,0.9353139,3.4680750190716934,244.875,0.9562208,3.4680749483028195
590000,0.9387962,3.1452727438855534,223.1590909090909,0.9701485,3.145272677338322
600000,0.93479216,3.4992857322989344,239.21428571428572,0.9371566,3.4992857057202076
610000,0.9354414,2.9713191644194477,209.95744680851064,0.90164,2.9713191632255715
620000,0.9239012,3.7196000199731705,274.22857142857146,0.91224986,3.719599993643351
630000,0.9353382,3.66790001829213,251.275,0.9086383,3.667900004659896
640000,0.9311986,3.2079091062398883,219.47727272727272,0.91782594,3.2079091275544753
650000,0.93475014,3.656805573933525,261.5833333333333,0.9403886,3.6568055426081023
660000,0.933918,3.1701632800241173,211.59183673469389,0.8826224,3.1701632393333985
670000,0.91834885,3.0765000151637336,214.69565217391303,0.91357505,3.063333357006518
680000,0.90559673,3.4783077099456046,251.28205128205127,0.9327223,3.4830749675573314
690000,0.90996724,3.561025657482111,248.05128205128204,0.9763498,3.5610256529180333
700000,0.91359687,4.003771447862632,286.2,0.98395216,4.0486765397671505
710000,0.9243237,5.022500025490964,352.5,1.039761,5.069285766994914
720000,0.921487,3.6594285902700254,264.6857142857143,1.0019648,3.5901944769721013
730000,0.9410018,3.394900018244516,253.925,0.9214357,3.3948999969870783
740000,0.92900443,3.823111130500264,275.4166666666667,0.95745313,3.823111120669637
750000,0.9499598,5.227230796277022,379.7692307692308,1.0006557,5.227230838285043
760000,0.9284889,3.557921070669851,258.10526315789474,0.9694733,3.557921020776695
770000,0.9305046,5.4978400280885396,391.72,1.0209395,5.497840034915134
780000,0.94220674,3.575487197123062,249.12820512820514,1.0191059,3.5754871749832557
790000,0.93155545,3.9509117851540556,289.7647058823529,1.008468,3.9509117084877183
800000,0.9107793,5.0550370625979095,371.55555555555554,1.0347549,5.1051924042358925
810000,0.92471856,4.038600020079563,298.06666666666666,1.0457146,4.029322604686322
820000,0.9179769,6.645285747939765,483.9047619047619,1.0283027,6.6452857243296295
830000,0.92351246,4.362677440914746,305.7096774193548,1.0455592,4.362677404536836
840000,0.90539145,3.842837856497263,279.81081081081084,1.006751,3.842837892482183
850000,0.9109374,4.881965540939588,351.2413793103448,1.0029109,4.881965495927003
860000,0.9160333,5.047960025020875,356.6,1.0198847,5.047960042078048
870000,0.9116132,4.623966689469913,350.6333333333333,1.0141132,4.623966730106622
880000,0.9095828,3.7994722401070047,272.5,0.980678,3.7994722548109063
890000,0.902348,4.482193568387189,316.80645161290323,0.98164475,4.48219369935067
900000,0.905869,5.260739156809311,394.2608695652174,1.0148127,5.260739227594889
910000,0.8969864,5.451884641459821,402.0769230769231,1.0460482,5.451884645968676
920000,0.9228009,6.332857173207837,451.42857142857144,1.0786829,6.332857129740573
930000,0.92372483,4.60287099017296,337.0967741935484,1.0386242,4.602870975185426
940000,0.92710835,3.7241428750966277,274.34285714285716,1.0706748,3.724142917322128
950000,0.9346832,4.544413815501371,335.7931034482759,1.0516635,4.544413784711526
960000,0.93369746,5.424115412873037,392.2692307692308,1.043281,5.4241154450529185
970000,0.938302,4.541266689639694,327.0,0.9911227,4.541266625250379
980000,0.93031156,6.338333366865602,470.0,1.0575405,6.338333459260563
990000,0.9502254,4.545733355835546,323.56666666666666,1.0333632,4.5457333254007
1000000,0.9302184,5.620666694963195,408.7916666666667,1.0262942,5.620666746729209
1010000,0.9140877,4.640230791799975,340.38461538461536,1.0474058,4.640230801547519
1020000,0.9311442,4.621750022972265,339.0,1.0653274,4.621750076385069
1030000,0.9326634,5.100296322523651,365.5925925925926,1.0798273,5.100296380498481
