Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
4085000,1.31953,0.81262505,11.191500064567663,769.5,11.191499628126621
4086000,1.2977074,0.8737447,None,None,None
4087000,1.3050299,0.82669723,11.308000066899695,854.0,11.308000221848488
4088000,1.304184,0.89098847,21.200000107754022,1475.0,21.200000427663326
4089000,1.3265724,0.851179,None,None,None
4090000,1.3174835,0.85394305,11.21300006005913,823.5,11.213000245392323
4091000,1.3220478,0.86797464,None,None,None
4092000,1.2759169,0.8695052,13.767500073474366,991.5,13.767499934881926
4093000,1.3176708,0.8848832,None,None,None
4094000,1.3243524,0.900646,21.253000118071213,1468.0,21.2529999576509
4095000,1.2775154,0.81345695,11.223500064923428,781.5,11.223499611020088
4096000,1.310289,0.84124243,None,None,None
4097000,1.3337681,0.8403239,22.11700011882931,1470.0,22.11699991673231
4098000,1.3121822,0.86869943,22.179000115487725,1476.0,22.178999304771423
4099000,1.2755233,0.8747485,12.654000069131143,978.0,12.654000669717789
4100000,1.2803404,0.90038395,None,None,None
4101000,1.300175,0.88384753,11.78650006413227,849.5,11.786500353366137
4102000,1.2929823,0.8158348,22.267000123043545,1472.0,22.266999427229166
4103000,1.3357188,0.857429,None,None,None
4104000,1.2941496,0.8632754,21.03800010785926,1476.0,21.038000784814358
4105000,1.3166617,0.9117593,22.32800011744257,1476.0,22.32799983024597
4106000,1.2912457,0.8657675,None,None,None
4107000,1.2855414,0.923854,22.150000119698234,1476.0,22.149999395012856
4108000,1.3360182,0.87539804,21.26000011432916,1476.0,21.260000087320805
4109000,1.3108361,0.8799021,1.6220000175526366,237.0,1.6219999492168427
4110000,1.3061676,0.92734355,22.311000121757388,1468.0,22.311000041663647
4111000,1.284402,0.8430762,3.483666690532118,305.0,3.4836663554112115
4112000,1.2877576,0.8547039,None,None,None
4113000,1.2939714,0.898947,22.156000122544356,1462.0,22.155999606475234
4114000,1.2824754,0.8672119,22.240000116988085,1476.0,22.24000032246113
4115000,1.3148029,0.86694133,None,None,None
4116000,1.2977571,0.912202,21.15900010371115,1476.0,21.15900021791458
4117000,1.3087287,0.7882538,22.31400012935046,1476.0,22.314000070095062
4118000,1.3095484,0.86788297,16.39800009597093,1233.0,16.39799938350916
4119000,1.3054922,0.8847547,None,None,None
4120000,1.3290918,0.86895555,22.29900012316648,1473.0,22.299000419676304
4121000,1.3277876,0.8926053,22.33800010860432,1476.0,22.337999865412712
4122000,1.3007505,0.80791295,None,None,None
4123000,1.3106421,0.84036416,11.193500057735946,769.0,11.193500004708767
4124000,1.3394964,0.9240446,21.127000107313506,1463.0,21.127000618726015
4125000,1.3097908,0.86691326,None,None,None
4126000,1.2941194,0.9176175,22.223000127938576,1476.0,22.223000466823578
4127000,1.3421657,0.8218448,21.12100010958966,1476.0,21.12099999189377
4128000,1.2858315,0.85426825,None,None,None
4129000,1.3075019,0.83576983,12.459500074968673,890.5,12.459499567747116
4130000,1.3123645,0.8843802,None,None,None
4131000,1.3386694,0.890488,21.96000010764692,1466.0,21.95999988168478
4132000,1.2960308,0.90036947,7.5725000449456275,556.0,7.572500176727772
4133000,1.2799251,0.8402433,22.329000119003467,1462.0,22.328999869525433
4134000,1.3103666,0.8227602,None,None,None
4135000,1.2763513,0.8211942,21.003000112017617,1476.0,21.00300058349967
4136000,1.3188163,0.87931305,14.920000084326603,1108.0,14.919999852776527
4137000,1.3053751,0.8956218,22.281000114046037,1466.0,22.280999936163425
4138000,1.3155456,0.8323645,1.4920000184793025,204.0,1.4920000955462456
4139000,1.2986946,0.82431096,21.059000114444643,1468.0,21.05899991840124
4140000,1.2890246,0.79430455,None,None,None
4141000,1.2677658,0.92616993,22.108000124339014,1476.0,22.108000695705414
4142000,1.2677811,0.8550397,22.243000117246993,1476.0,22.242999628186226
4143000,1.2855903,0.9045084,16.37900009949226,1200.0,16.378999680280685
4144000,1.3270714,0.82005066,None,None,None
4145000,1.3071697,0.82412916,21.999000122305006,1473.0,21.99899999052286
4146000,1.2950895,0.8438447,21.11100010946393,1476.0,21.11100009083748
4147000,1.3166811,0.87346065,None,None,None
4148000,1.301316,0.8556023,22.196000116644427,1476.0,22.196000829339027
