Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
4089000,1.1349492,1.1039304,4.838600029307417,387.4,4.83860000371933
4090000,1.1389166,1.0381218,1.6060000155121088,265.0,1.605999879539013
4091000,1.2489306,1.0252154,20.01100011204835,1464.0,20.010999962687492
4092000,1.2646781,1.1323267,None,None,None
4093000,1.325842,1.1123394,11.770000059739687,796.0,11.770000137388706
4094000,0.9681534,1.022949,5.4190000302915,434.0,5.419000120833516
4095000,1.2110695,1.138311,2.6830000249901786,244.0,2.682999610900879
4096000,1.2325397,1.1754696,21.11200011521578,1461.0,21.112000208348036
4097000,1.1842651,1.1171747,17.48100011132192,1219.0,17.480999559164047
4098000,1.2172594,1.0621358,None,None,None
4099000,1.2748902,1.2015442,21.099000113783404,1470.0,21.098999336361885
4100000,1.1229514,1.1278052,5.787000036565587,502.0,5.787000223994255
4101000,1.2458336,1.1811279,6.981500045221765,539.0,6.981499791145325
4102000,1.258814,1.1246333,None,None,None
4103000,1.2238903,1.0726627,22.304000115487725,1459.0,22.304000481963158
4104000,1.2709236,1.1892576,21.16700011724606,1476.0,21.16700042039156
4105000,1.2490033,1.0488588,None,None,None
4106000,1.1236367,1.0039146,15.003000080992933,1065.0,15.002999819815159
4107000,1.2118361,1.1054279,None,None,None
4108000,1.1659482,1.118425,10.508000058296602,765.5,10.508000280708075
4109000,1.2365469,1.1227516,22.330000125686638,1471.0,22.33000038564205
4110000,1.1396616,1.1207833,12.5400000695372,962.0,12.540000684559345
4111000,1.2074528,1.1072057,None,None,None
4112000,1.1329355,1.0470277,10.605500062869396,777.5,10.605500046163797
4113000,1.2582221,1.0404284,10.589000056439545,765.0,10.589000433683395
4114000,1.1369337,1.2020152,5.036000031046569,385.0,5.036000072956085
4115000,1.1637452,1.0028086,9.392500054615084,688.5,9.392499953508377
4116000,1.2309996,1.0618266,12.61700007179752,1025.0,12.61700063943863
4117000,1.1916568,1.0608857,None,None,None
4118000,1.2320042,1.1543355,11.149500061408617,773.0,11.149499584920704
4119000,1.243834,1.1683964,12.522000071709044,910.0,12.521999672055244
4120000,1.0317544,1.0925243,8.72200005146442,666.5,8.72200008109212
4121000,1.1616101,1.0137033,5.0150000301073305,424.5,5.015000104904175
4122000,1.2343324,1.2452012,22.250000107684173,1462.0,22.25000064074993
4123000,1.2179395,1.0647099,None,None,None
4124000,1.2195191,1.178904,22.179000111762434,1476.0,22.17900014668703
4125000,1.2039827,1.1727519,11.223000060825143,772.5,11.22300049290061
4126000,1.2864895,1.1052188,None,None,None
4127000,1.2352949,1.1718706,22.368000130169094,1471.0,22.367999797686934
4128000,1.2356921,1.1120051,22.359000116586685,1476.0,22.35899979621172
4129000,1.1692066,1.1198995,0.07500000181607902,68.0,0.07500004768371582
4130000,1.197875,1.1125456,22.187000117264688,1473.0,22.18699987977743
4131000,1.2696486,1.1225364,None,None,None
4132000,1.1050994,1.0448847,8.823000051896088,668.3333333333334,8.823000095784664
4133000,1.1789176,1.1408869,None,None,None
4134000,1.2620385,1.0941336,22.205000128014944,1470.0,22.204999409615993
4135000,1.2120734,1.1463202,7.919333378978384,570.6666666666666,7.91933352748553
4136000,1.2810711,1.1297662,None,None,None
4137000,1.2281649,1.0023388,11.198500064318068,766.0,11.198499761521816
4138000,1.2488844,1.0273836,20.920000118669122,1462.0,20.919999703764915
4139000,1.1988572,1.1569574,12.665000083274208,928.0,12.664999783039093
4140000,1.1479002,1.1379393,6.289500038838014,493.0,6.289499834179878
4141000,1.2424418,1.1081728,None,None,None
4142000,1.1993387,1.0555208,10.54200005531311,764.0,10.542000209912658
4143000,1.2120767,1.2232019,22.223000121302903,1460.0,22.22300074994564
4144000,1.2707258,1.190922,None,None,None
4145000,1.3143672,1.1845509,23.2820001199143,1476.0,23.282000243663788
4146000,1.2122493,1.0672587,22.3930001265835,1476.0,22.39300014823675
4147000,1.2736528,1.1302066,None,None,None
4148000,1.2532932,1.0607986,13.273500080162194,961.0,13.273499835282564
4149000,1.1920046,1.1506884,2.759000023594126,279.0,2.758999675512314
4150000,1.2926794,1.1411927,21.269000113476068,1471.0,21.269000500440598
4151000,1.210626,1.0496832,None,None,None
4152000,1.2461929,1.1165891,22.14900011313148,1476.0,22.14900067448616
4153000,1.155897,1.0754738,15.113000085577369,1132.0,15.112999752163887
4154000,1.2079806,1.1743498,22.195000112173147,1460.0,22.19499956443906
4155000,1.2461236,1.1076291,8.90900006040465,683.0,8.908999606966972
4156000,1.2548006,1.0819591,10.676500060770195,777.0,21.210000291466713
4157000,1.0789808,1.0443735,0.20250000682426617,77.0,0.18266657988230386
4158000,1.1842048,1.1443523,16.06200009386521,1178.0,16.06200012564659
4159000,1.2905753,1.0303326,21.01500011747703,1463.0,21.015000365674496
4160000,1.2930715,1.1074044,None,None,None
4161000,1.2919837,1.0841042,22.248000116553158,1476.0,22.24800017476082
4162000,1.189324,1.2207968,11.712000064435415,802.0,11.712000280618668
4163000,1.275955,1.1291379,None,None,None
4164000,1.2714561,1.0451176,22.221000108867884,1462.0,22.221000477671623
4165000,1.237134,1.1244769,21.073000117205083,1476.0,21.073000445961952
4166000,1.2614392,1.1618155,12.578000072389841,952.0,12.577999755740166
4167000,1.2358373,1.0068493,None,None,None
4168000,1.3011242,1.137634,21.149000117671676,1475.0,21.14899981766939
4169000,1.2750245,1.1289517,21.25800011609681,1476.0,21.258000187575817
4170000,1.3264552,1.0947833,None,None,None
4171000,1.3300333,1.0429777,21.231000119354576,1476.0,21.231000438332558
4172000,1.1455811,1.097191,3.178600022220053,302.2,3.178599828481674
4173000,1.1921618,1.1391499,0.10200000286567956,80.0,0.1020001769065857
4174000,1.246774,1.1066201,22.262000127346255,1472.0,22.261999920010567
4175000,1.2862478,1.0881845,None,None,None
4176000,1.3211236,1.1570784,8.671333377909226,604.3333333333334,8.671333288153013
4177000,1.2522013,1.1234764,22.240000110818073,1467.0,22.24000021442771
4178000,1.2816505,1.1774492,3.896000024396926,340.0,3.8960000872612
4179000,1.2993429,1.0485717,22.190000113332644,1463.0,22.190000031143427
4180000,1.1925278,1.0439262,6.434000041335821,547.0,6.433999493718147
4181000,1.2879415,1.1357089,21.198000118369237,1470.0,21.198000386357307
4182000,1.2529461,1.1414953,7.728500050667208,625.5,2.7999999821186066
4183000,1.18591,1.0279126,5.213000039453618,459.0,8.934999875724316
4184000,1.1541623,1.1310062,3.4980000240417817,317.3333333333333,3.4979998419682183
4185000,1.2941027,1.1628388,22.27900011721067,1469.0,22.27900056540966
4186000,1.2403612,1.150703,0.19400000642053783,70.0,0.19399988651275635
4187000,1.2760841,1.1194605,22.228000119212084,1471.0,22.227999418973923
4188000,1.2827039,1.1033515,22.40700011793524,1476.0,None
4189000,1.2737582,1.1046966,5.243000037036836,463.0,13.824999954551458
4190000,1.2548041,1.1335335,7.468000041088089,535.0,7.467999950051308
4191000,1.2164893,1.0807371,22.12600011494942,1461.0,22.126000253483653
4192000,1.2745283,1.1164737,10.063000057940371,714.0,10.06300076842308
4193000,1.2366422,1.1430987,22.26800011866726,1466.0,22.267999544739723
4194000,1.2524601,1.1326847,4.88300002575852,359.0,4.8830001056194305
4195000,1.2513399,1.0804236,22.176000120700337,1461.0,22.17599979788065
4196000,1.2884425,1.0291772,8.93200005136896,675.0,8.931999430060387
4197000,1.2096936,1.1309389,22.241000125417486,1474.0,22.24099960178137
4198000,1.2986567,1.1937544,None,None,None
4199000,1.226522,1.140372,13.24900008138502,914.0,13.24900034070015
4200000,1.259665,1.1126354,None,None,None
4201000,1.2673185,1.1568772,21.118000107933767,1468.0,21.11799968034029
4202000,1.2049685,1.1066288,11.21000005985843,818.5,11.209999941289425
4203000,1.2750716,1.1180178,None,None,None
4204000,1.2337366,1.1112138,12.963500072422903,890.0,12.963499982841313
4205000,1.1648576,1.0876567,7.721000047517009,662.0,7.72099994122982
4206000,1.1675112,1.0906117,7.003500043589156,573.0,7.00349997729063
4207000,1.260127,1.2186029,22.34900011215359,1464.0,22.3490010201931
4208000,1.2716192,1.1299874,None,None,None
4209000,1.2398871,1.1341001,22.32100011757575,1476.0,22.321000449359417
4210000,1.1821375,1.1031605,11.399000070989132,894.0,11.398999586701393
4211000,1.2800735,1.0312154,21.206000115722418,1467.0,21.20600076764822
4212000,1.1803811,1.0226822,11.351000066497363,927.0,11.35099983215332
4213000,1.2656487,1.0983288,None,None,None
4214000,1.2095733,1.0112071,11.872500066296197,866.5,11.872500490397215
4215000,1.2626494,1.192054,3.932500025839545,371.0,3.9325002506375313
4216000,1.3029041,1.1251452,22.322000114363618,1467.0,22.32200039923191
4217000,1.2972564,1.1482744,None,None,None
4218000,1.2776365,1.1058568,22.200000114855357,1476.0,22.19999948889017
4219000,1.2655852,1.1900268,22.333000123500824,1476.0,22.333000019192696
4220000,1.2567935,1.0557607,None,None,None
4221000,1.2065523,1.0693986,13.758000079833437,980.0,13.758000165224075
4222000,1.2656324,1.1101329,None,None,None
4223000,1.2408954,1.0277467,22.21200011507608,1467.0,22.211999963968992
4224000,1.227992,1.2410848,22.32100012898445,1476.0,22.32099974155426
4225000,1.2244425,1.0810627,8.903000062215142,701.0,8.903000056743622
4226000,1.215096,1.0498729,21.074000119813718,1463.0,21.07399965636432
4227000,1.2856613,1.0588628,None,None,None
4228000,1.2422888,1.0679646,16.330000091344118,1204.0,16.330000460147858
4229000,1.342839,1.1424186,22.41600012057461,1469.0,22.41599990800023
4230000,1.2258863,1.0458839,8.775500050804112,661.5,14.827000424265862
4231000,1.2715652,1.0837746,None,None,2.7240001037716866
4232000,1.2560451,1.0892695,22.15800012066029,1464.0,22.157999504357576
4233000,1.3125703,1.1828613,21.280000123311765,1476.0,None
4234000,1.260519,1.0702467,6.454000048339367,546.0,13.86700014397502
4235000,1.2694252,1.100165,18.816000113845803,1375.0,18.816000312566757
4236000,1.279609,1.1414016,None,None,None
4237000,1.3167135,1.1484681,22.40200012002606,1474.0,22.40199962258339
4238000,1.2879932,1.0702173,22.309000122826546,1476.0,22.308999627828598
4239000,1.2795894,1.1340771,None,None,None
4240000,1.3109282,1.106927,21.347000136389397,1476.0,21.346999168395996
4241000,1.3134558,1.0712427,21.22900010854937,1476.0,21.229000106453896
4242000,1.3037704,1.1369069,None,None,None
4243000,1.2390922,1.113909,15.207000083639286,1108.0,15.207000270485878
4244000,1.2570908,1.0342376,22.257000113721006,1467.0,22.257000006735325
4245000,1.2711434,1.1188895,None,None,None
4246000,1.2174836,1.1201873,7.161666707562593,554.0,7.161666801820199
4247000,1.2562678,1.1417707,10.680000058317091,766.5,10.680000387132168
4248000,1.1695834,1.1272553,1.462333346911085,187.0,1.4623332470655441
4249000,1.1630417,1.1612699,3.4683333604286113,318.0,3.4683332021037736
4250000,1.2711654,1.0755383,11.291500063904095,780.0,11.291499678045511
4251000,1.2644112,1.1590042,5.253000032971613,482.0,5.25299996137619
4252000,1.2115736,1.0113264,22.14700011408422,1475.0,22.147000156342983
4253000,1.2163851,1.117003,0.7865000076126307,131.0,0.7865000702440739
4254000,1.2867565,1.16305,21.163000104599632,1459.0,21.163000229746103
4255000,1.2579329,1.0926745,12.595000078319572,924.0,12.594999819993973
4256000,1.2992827,1.0918031,None,None,None
4257000,1.2529807,1.0242937,12.483000070729759,883.0,12.483000036329031
4258000,1.2954141,1.1715041,22.25200012512505,1459.0,22.25200031325221
4259000,1.1841124,1.1547806,10.07400005531963,777.0,10.073999866843224
4260000,1.2686199,1.1676717,None,None,None
4261000,1.3236879,1.0906236,22.313000131049193,1469.0,22.313000299036503
4262000,1.1878366,1.0569681,22.248000120627694,1476.0,22.247999623417854
4263000,1.2872365,1.1148067,None,None,None
4264000,1.286163,1.1437393,8.009000044781715,600.0,8.009000028173128
4265000,1.2810388,1.1059971,22.28500011540018,1463.0,None
4266000,1.3012629,1.1078128,None,None,22.28500010073185
4267000,1.2703062,1.1359075,22.35700012149755,1476.0,22.357000693678856
4268000,1.238265,1.0627822,14.746000073384494,1000.0,14.746000066399574
4269000,1.2541403,1.0969975,20.082000118447468,1428.0,20.081998966634274
4270000,1.2411963,1.1139537,None,None,None
4271000,1.2828505,1.1377918,21.174000112572685,1459.0,21.174000270664692
4272000,1.2896869,1.1414216,21.166000119876117,1476.0,21.16599953174591
4273000,1.294234,1.1039189,None,None,None
4274000,1.3151119,1.0635393,11.206000060774386,769.5,11.20600002259016
4275000,1.2902193,1.1233163,19.01100011426024,1411.0,19.01100017130375
4276000,1.2830662,1.1264606,0.1920000062091276,69.0,0.19199985265731812
4277000,1.0768905,1.0232232,6.0667500373965595,482.5,6.06674993224442
4278000,1.2607827,1.1480552,None,None,None
4279000,1.1889995,1.1788945,9.160000054786602,667.6666666666666,11.893999841064215
4280000,1.3055779,1.1376519,None,None,3.6919996440410614
4281000,1.296792,1.0662402,17.358000089181587,1184.0,17.357999950647354
4282000,1.2949331,1.0818682,21.216000115848146,1471.0,21.216000370681286
4283000,1.2815187,1.165005,None,None,None
4284000,1.243929,1.1208471,11.998000076506287,897.0,11.997999832034111
4285000,1.2013983,1.1139466,17.557000109227374,1213.0,17.556998655200005
4286000,1.2277298,1.0410244,3.9275000276393257,363.0,3.9274999797344208
4287000,1.2962898,1.0964198,21.231000118074007,1465.0,None
4288000,1.23349,1.0828192,0.05500000191386789,64.0,10.643000427400693
4289000,1.2537035,1.1320451,11.316500061715487,809.5,11.316499917767942
4290000,1.2717204,1.1239568,None,None,None
4291000,1.0200354,1.1886852,5.602000035624951,435.6,5.601999819278717
4292000,1.2537506,1.1451385,3.9810000305296853,392.0,3.9810000509023666
4293000,1.2572026,1.06998,20.232000117539428,1413.0,20.23199987411499
4294000,1.2332224,1.0678864,None,None,None
4295000,1.2785782,1.2404612,21.055000118678436,1464.0,21.055000014603138
4296000,1.2321692,1.0721481,22.325000126031227,1476.0,22.325000122189522
4297000,1.2482384,1.0905986,11.323000072152354,835.0,11.32299992442131
4298000,1.2940242,1.0949527,None,None,None
4299000,1.2752329,1.1223707,22.32300012547057,1460.0,22.322999600321054
4300000,1.1290555,1.0270691,7.994333381337735,600.6666666666666,7.994333401322365
4301000,1.0971128,1.0670261,3.831000024045352,327.0,3.831000044941902
4302000,1.2524905,1.1809367,8.653000048710965,666.0,8.652999863028526
4303000,1.2467291,1.164685,22.207000113208778,1469.0,22.207000248134136
4304000,1.236138,1.0588967,None,None,None
4305000,1.1646111,1.0970366,8.298666712401124,600.3333333333334,8.29866679261128
4306000,1.2302865,1.1234082,5.742000033438671,454.0,5.742000006139278
4307000,1.1909688,1.1738924,6.388500040164217,503.5,6.388499863445759
4308000,1.2665881,1.0784198,None,None,None
4309000,1.232242,1.1845524,10.71850006096065,768.5,10.718500012531877
4310000,1.003717,0.98895365,5.390000028855866,427.25,5.390000039711595
4311000,1.2318783,1.1329618,None,None,None
4312000,1.273008,1.141374,22.16400011780206,1462.0,22.163999747484922
4313000,1.2624648,1.076605,23.417000119108707,1476.0,23.41700042784214
4314000,1.2715908,1.1284018,None,None,None
4315000,1.2442936,1.2095263,13.216500078851823,943.5,13.21649980917573
4316000,1.2501774,1.0967329,None,None,None
4317000,1.1148741,1.1145898,8.754666715743951,641.6666666666666,8.754666768014431
4318000,1.2677976,1.0689567,None,None,None
4319000,1.0651016,1.0993038,7.283500046440167,561.0,7.28349981456995
4320000,1.1552336,1.0472696,5.182000039494596,428.0,5.181999638676643
4321000,1.1993861,1.1369822,None,None,None
4322000,1.2979428,1.1348106,22.058000126853585,1465.0,22.05800025165081
4323000,1.2466404,1.0602511,19.964000110398047,1426.0,19.963999822735786
4324000,1.2558209,1.1761533,None,None,None
4325000,1.1796199,1.153547,10.068333394709043,699.6666666666666,10.068333139022192
4326000,1.2099323,1.0939466,0.27500000805594027,129.0,0.27500006556510925
4327000,1.2387835,1.1079944,22.09800011862535,1460.0,22.097999308258295
4328000,1.2394379,1.2495829,9.454000057827216,695.5,9.453999932855368
4329000,1.1945372,1.1058745,5.049500030640047,392.0,5.049499914050102
4330000,1.2481872,0.97727233,7.670000045909546,589.0,7.669999957084656
4331000,1.2666126,1.0606376,22.220000118366443,1466.0,22.220000758767128
4332000,1.2467268,1.1854024,6.355000035837293,501.0,6.355000138282776
4333000,1.0830044,1.028926,9.391500054684002,727.0,9.391499683260918
4334000,1.2539895,1.1073711,None,None,None
4335000,1.2158794,1.0709459,20.910000107018277,1473.0,20.909999802708626
4336000,1.1601404,1.0912423,8.141000047326088,607.0,8.141000032424927
